srf87a01,"M. Tigner, Lawrence Berkeley Laboratory, Berkeley; H. Padamsee, Cornell University, Ithaca","Frontier Applications of RF Superconductivity for High Energy Physics in the TEV Region",
srf87a02,"H. Padamsee, M. Hakimi, J. L. Kirchgessner, P. Kneisel, D. Moffat, G. Müller, F. Palmer, L. Phillips, C. E. Reece, D. L. Rubin, R. M. Sundelin, Q. S. Shu, Cornell University, Ithaca","Superconducting RF Activities at Cornell University",
srf87a03,"D. Proch, DESY, Hamburg","Storage Ring Beam Tests",
srf87a04,"G. Arnolds-Mayer, C. Benvenuti, Ph. Bernard, D. Bloess, G. Cavallari, E. Chiaveri, W. Erdt, E. Haebel, N. Hilleret, Ph. Legendre, H. Lengeler, G. Passardi, J. Schmid, R. Stierlin, J. Tückmantel, W. Weingarten, CERN, Geneva","Radio Frequency Superconductivity at CERN: A Status Report",
srf87a05,"B. Dwersteg, W. Ebeling, W.-D. Möller, D. Renken, D. Proch, J. Sekutowicz, J. Susta, D. Tong, DESY, Hamburg","Superconducting Cavities for HERA",
srf87a06,"T. Furuya, K. Asano, Yuzo Kojima, S. Mitsunobu, H. Nakai, T. Nakazato, S. Noguchi, K. Saito, T. Tajima, KEK, Ibaraki-ken","The TRISTAN Superconducting Cavities",
srf87a07,"R. M. Sundelin, CEBAF, Newport News","Application of Radio Frequency Superconductivity to Recirculating Linacs",
srf87a08,"V. Aab, K. Alrutz-Ziemssen, R. Amend, D. Flasche, H.-D. Gräf, V. Huck, K. D. Hummel, M. Knirsch, W. Lotz, A. Richter, T. Rietdorf, U. Schaaf, S. Simrock, E. Spamer, O. Titze, H. Weise, W. Ziegler, Institut für Kernphysik, Darmstadt; H. Heinrichs, H. Piel, J. Pouryamount, University of Wuppertal, Wuppertal","The Superconducting 130 MeV Electron Accelerator at Darmstadt",
srf87a09,"C. Leemann, CEBAF, Newport News","CEBAF Design Overview and Project Status",
srf87a10,"B. Aune, CEN, Gif-Sur-Yvette","Superconducting RF Activities for Electrons at SACLAY",
srf87a11,"F. Tazzioli, A. Aragona, C. Biscari, R. Boni, M. Castellano, A. Cattoni, V. Chimenti, S. De Simone, S. Faini, U. Gambardella, S. Guiducci, S. Kulinski, L. Maritato, G. Modestino, P. Patteri, M. A. Preger, C. Sanelli, A. Savoia, M. Serio, B. Spataro, S. Tazzari, M. Vescovi, INFN, Rome","Project of a Superconducting RF Electron Linac at Frascati INFN Laboratories",
srf87b01,"V. Kresin, Lawrence Berkeley Laboratory, Berkeley","Some Theoretical Aspects of High-Tc Superconductivity",
srf87b02,"K. E. Gray, ANL, Argonne","Experimental Aspects of High-Tc Superconductors",
srf87b03,"S. Sridhar, Northeastern University, Boston","RF and Microwave Experiments on Y1Ba2Cu3Oy and La1.85Sr0.15CuO4",
srf87b04,"M. Hein, N. Klein, G. Müller, H. Piel, R. W. Röth, University of Wuppertal, Wuppertal","Experiments on the RF Surface Resistance of the Perovskite Superconductors at 3 GHz",
srf87b05,"D. L. Rubin, J. Gruschus, J. L. Kirchgessner, D. Moffat, H. Padamsee, J. Sears, Q. S. Shu, S. Tholen, E. Wilkins, R. Buhrman, S. Russek, T. W. Noh, Cornell University, Ithaca","RF Measurements on High-Tc Materials",
srf87b06,"J. R. Delayen, K. W. Shepard, K. C. Goretta, R. B. Poeppel, ANL, Argonne","RF Measurements on High-Tc Superconductors at Argonne National Laboratory",
srf87b07,"A. Migliori, D. W. Reagor, D. E. Peterson, J. O. Willis, Z. Fisk, R. C. Smith, LANL, Los Alamos","RF and Microwave Measurements at Los Alamos on Oxide Superconductors",
srf87c01,"J. J. Bisognano, CEBAF, Newport News","Superconducting RF and Beam-Cavity Interactions",
srf87c02,"Ph. Niedermann, University of Geneva, Geneva","DC Field Emission",
srf87c03,"H. Padamsee, W. Hartung, R. Noer, C. E. Reece, Q. S. Shu, Cornell University, Ithaca","RF Field Emission in Superconducting Cavities",
srf87c04,"H. Chaloupka, H. Piel, University of Wuppertal, Wuppertal","Non-Accelerator Applications of RF Superconductivity",
srf87c05,"E. Chiaveri, J. Tückmantel, CERN, Geneva; M. Brune, P. Goy, J. M. Raimond, École Normale Supérieure, Paris","Realisation and Tuning of Superconducting Closed Cavities at a Given Millimeter Wavelength",
srf87c06,"F. Palmer, Cornell University, Ithaca","Surface Resistance of Superconductors - Examples from Nb-O Systems",
srf87c07,"G. Müller, University of Wuppertal, Wuppertal","Superconducting Niobium in High RF Magnetic Fields",
srf87c08,"D. Bloess, CERN, Geneva","Preparation and Handling of Surfaces for Superconducting Radio Frequency Cavities",
srf87d01,"D. W. Storm, D. T. Corcoran, M. A. Howe, Q.-X. Lin, D. P. Rosenzweig, University of Washington, Seattle","Status Report on the University of Washington Superconducting Booster Accelerator Project",
srf87d02,"B. Cauvin, M. Coret, J. P. Fouan, J. Girard, J. L. Girma, Ph. Leconte, Y. Lussignol, R. Moreau, J. P. Passérieux, G. Ramstein, L. Wartski, CEN, Gif-Sur-Yvette","Fabrication, Tests, and RF Control of the 50 Superconducting Resonators of the Saclay Heavy Ion Linac",
srf87d03,"U. Trinks, Technical University of Munich, Munich","Status Report on the Triton/Munich",
srf87d04,"G. Fortuna, R. Pengo, G. Bassato, A. Facco, P. Favaron, V. Palmieri, A. M. Porcellato, M. Rosa, B. Tiveron, INFN, Legnaro","The Alpi Project at Legnaro National Laboratory",
srf87d05,"E. G. Myers, J. D. Fox, A. D. Frawley, P. Allen, J. Faragasso, D. Smith, L. Wright, Florida State University, Tallahassee","The Florida State University Superconducting Linac",
srf87d06,"T. W. Aitken, Daresbury Laboratory, Warrington; G. Doucas, University of Oxford, Oxford","Daresbury Super Linac Status Report",
srf87d07,"J. Sikora, I. Ben-Zvi, J. M. Brennan, M. Cole, J. W. Noe, SUNY, Stony Brook","Lead/Tin Resonator Development at the Stony Brook Heavy-Ion Linac",
srf87d08,"D. C. Weisser, M. D. Malev, Australian National University, Canberra","ANU - Status Report",
srf87d09,"S. Takeuchi, Japan Atomic Energy Research Institute, Ibaraki","Status of Work on Superconducting Quarter Wave Resonators",
srf87d10,"P. M. Markovich, K. W. Shepard, G. P. Zinkann, ANL, Argonne","Status of RF Superconductivity at Argonne National Laboratory",
srf87e01,"C. Benvenuti, D. Bloess, E. Chiaveri, N. Hilleret, M. Minestrini, W. Weingarten, CERN, Geneva","Superconducting Cavities Produced by Magnetron Sputtering",
srf87e02,"J. R. Delayen, ANL, Argonne","RF Properties of Superconducting Pb Electroplated onto Cu",
srf87e03,"G. Arnolds-Mayer, E. Chiaveri, CERN, Geneva","On A 500 MHz Single Cell Cavity with Nb3Sn Surface",
srf87e04,"M. Peiniger, M. Hein, N. Klein, G. Müller, H. Piel, P. Thüns, University of Wuppertal, Wuppertal","Work on Nb3Sn Cavities at Wuppertal",
srf87e05,"J. L. Kirchgessner, Cornell University, Ithaca","Forming and Welding of Niobium for Superconducting Cavities",
srf87e06,"C. E. Reece, CEBAF, Newport News","Progress in Diagnostic Techniques for SC Cavities",
srf87e07,"G. Cavallari, E. Chiaveri, E. Haebel, Ph. Legendre, W. Weingarten, CERN, Geneva","Coupler Developments at CERN",
srf87e08,"J. C. Amato, Cornell University, Ithaca","Development of Higher Order Mode Couplers at Cornell",
srf87e09,"J. Sekutowicz, DESY, Hamburg","HOM Couplers at DESY",
srf87e10,"S. Noguchi, K. Akai, M. Arinaga, K. Asano, T. Furuya, K. Hara, K. Hosoyama, A. Kabe, Yuji Kojima, Yuzo Kojima, S. Mitsunobu, H. Nakai, T. Nakazato, T. Ogitsu, K. Saito, U. Sakamoto, T. Suzuki, T. Tajima, KEK, Ibaraki-ken","Status of Tristan Superconducting RF Program",
srf87e11,"G. Cavallari, E. Haebel, R. Stierlin, J. Tückmantel, W. Weingarten, CERN, Geneva","The Tuner System for the S. C. 352 MHz LEP 4 - cell cavities",
srf87e12,"R. Stierlin, CERN, Geneva","Development of a Cryostat for the 4-Cell 352 MHz SC Accelerating Cavities for LEP",
srf87f01,"V. Anashin, S. I. Bibko, E. I. Fadeyev, M. M. Karliner, K. S. Kovalev, B. Z. Persov, A. T. Popov, I. K. Sedlyarov, V. G. Veshtcherevich, V. N. Volkov, INP, Novosibirsk","Investigation of Superconducting Niobium 1170 MHz Cavities",
srf87f02,"A. A. Litvinov, I. K. Sedlyarov, A. G. Tribendis, INP, Novosibirsk","Set-up for Nb Surface Quality Checking Using HC3",
srf87f03,"M. Pham Tu, K. Mbaye, L. Wartski, University of Paris, Orsay; J. Halbritter, Kernforschungszentrum, Karlsrhue","Niobium Nitride Coated Superconducting Cavities",
srf87f04,"M. G. Oravecz, B. Y. Lu, K. Riney, L. W. Kessler, Sonoscan, Inc., Bensenville; H. Padamsee, Cornell University, Ithaca","High-Speed Automated NDT Device for Niobium Plate Using Scanning Laser Acoustic Microscopy",
