mod1a01,"G. Rehm, M. G. Abbott, J. Rowland, I. Uzun, Diamond, Oxfordshire","Digital EBPMs at Diamond: Operational Experience and Integration into a Fast Global Orbit Feedback",24 26,
mod1a03,"U. Iriso, A. Olmos, ALBA, Bellaterra","Electron Beam Diagnostics for the ALBA Light Source",27 29,
moo1a02,"E. Bravin, CERN, Geneva","High Resolution Transverse Profile Measurement",99 98,
moo1a03,"G. Kube, DESY, Hamburg","Review of Synchrotron Radiation based Diagnostics for Transverse Profile Measurements",6 10,
moo2a01,"V. Malka, LOA, Palaiseau","Physics And Diagnostics Of Laser-Plasma Accelerators",11 16,
moo2a02,"C. Gerth, DESY, Hamburg","Electron Beam Diagnostics for the European X-Ray Free-Electron Laser",17 19,
moo2a03,"M. Ferianis, ELETTRA, Basovizza, Trieste","FERMI@elettra Diagnostics",20 23,
moo3a01,"A. Toyoda, A. Agari, E. Hirose, M. Ieiri, Y. Katoh, M. Minakawa, H. Noumi, Y. Sato, Y. Suzuki, H. Takahashi, M. Takasaki, K. H. Tanaka, H. Watanabe, Y. Yamanoi, KEK, Tsukuba","Optical Transition Radiation Monitor for High Intensity Proton Beam at the J-PARC",30 32,
moo3a02,"F. Becker, C. A. Andre, P. Forck, GSI, Darmstadt; D. Hoffmann, TU Darmstadt, Darmstadt","Beam Induced Fluorescence (BIF) Monitor for Transverse Profile Determination of 5 to 750 MeV/u Heavy Ion Beams",33 35,
moo3a03,"G. Decker, ANL, Argonne, Illinois; S. G. Arutunian, M. R. Mailian, YerPhI, Yerevan; G. Rosenbaum, UGA, Athens, Georgia","First Vibrating Wire Monitor Measurements of a Hard X-ray Undulator Beam at the Advanced Photon Source",36 38,
tuo1a01,"J. M. Brennan, M. Blaskiewicz, F. Severino, BNL, Upton, Long Island, New York","Bunched Beam Stochastic Cooling for RHIC",39 42,
tuo1a02,"R. J. Steinhagen, CERN, Geneva","Feedbacks on Tune and Chromaticity",43 47,
tuo1a03,"J. M. Koch, F. Epaud, G. A. Naylor, E. Plouviez, ESRF, Grenoble","Beam Diagnostic Features of the ESRF Multibunch Feedback",48 50,
tupb01,"G. R. Tassotto, H. Nguyen, D. P. Schoo, G. W. Sellberg, Fermilab, Batavia, Illinois","A Fiber Profile Monitor for low Beam Intensities.",51 53,
